Source,RunTag,Optimizer,Config,Mean_RMSE_All,Num_Chunks,Unstable_Chunks,Mean_RMSE_Stable,Std_RMSE_Stable,Stable_Chunks,Stability_Fraction,Warning_Count,OptimizerGroup
try_lasso_sr3,n2,SR3,L0_thr_1e-09_nu_0.01_tol_1e-07,0.03732706882673238,10939,3582,0.015556530641137283,0.020498283213381447,7357,0.6725477648779596,3582,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-09_nu_0.1_tol_1e-06,0.03732706882673238,10939,3582,0.015556530641137283,0.020498283213381447,7357,0.6725477648779596,3582,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-09_nu_0.1_tol_1e-07,0.03732706882673238,10939,3582,0.015556530641137283,0.020498283213381447,7357,0.6725477648779596,3582,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-09_nu_1.0_tol_1e-06,0.03732706882673238,10939,3582,0.015556530641137283,0.020498283213381447,7357,0.6725477648779596,3582,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-09_nu_1.0_tol_1e-07,0.03732706882673238,10939,3582,0.015556530641137283,0.020498283213381447,7357,0.6725477648779596,3582,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-09_nu_10_tol_1e-06,0.03732706882673238,10939,3582,0.015556530641137283,0.020498283213381447,7357,0.6725477648779596,3582,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-09_nu_10_tol_1e-07,0.03732706882673238,10939,3582,0.015556530641137283,0.020498283213381447,7357,0.6725477648779596,3582,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_0.001_tol_1e-07,0.03762838606608888,10939,3625,0.015642664363497927,0.020831037031170372,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_0.01_tol_1e-06,0.03762838561125466,10939,3625,0.015642664564768188,0.020831036974271796,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_0.1_tol_1e-06,0.03762838561125466,10939,3625,0.015642664564768188,0.020831036974271796,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_0.1_tol_1e-07,0.03762838561125466,10939,3625,0.015642664564768188,0.020831036974271796,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_1.0_tol_1e-06,0.03762838561125466,10939,3625,0.015642664564768188,0.020831036974271796,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_1.0_tol_1e-07,0.03762838561125466,10939,3625,0.015642664564768188,0.020831036974271796,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_10_tol_1e-06,0.03762838561125466,10939,3625,0.015642664564768188,0.020831036974271796,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_10_tol_1e-07,0.03762838561125466,10939,3625,0.015642664564768188,0.020831036974271796,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_0.001_tol_1e-06,0.03762838561364395,10939,3625,0.015642664568341666,0.020831036971805692,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-08_nu_0.01_tol_1e-07,0.03762838561364395,10939,3625,0.015642664568341666,0.020831036971805692,7314,0.6686168753999452,3625,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_1.0_tol_1e-06,0.04294062868573991,10939,4069,0.018785407160644543,0.025214671441480124,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_1.0_tol_1e-07,0.04294062868573991,10939,4069,0.018785407160644543,0.025214671441480124,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_10_tol_1e-06,0.04294062868573991,10939,4069,0.018785407160644543,0.025214671441480124,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_10_tol_1e-07,0.04294062868573991,10939,4069,0.018785407160644543,0.025214671441480124,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_0.1_tol_1e-06,0.04294062877027364,10939,4069,0.01878540729524635,0.025214671419014213,6870,0.6280281561385868,4069,SR3_l0
